task,run_id,replicate,status,language,model,tooling,_cost_usd,_duration_seconds,_tokens,code_quality,_turns,defect_rate,idiomatic,maintainability,test_coverage,token_efficiency
rest-api-crud,25,2,completed,typescript,sonnet,none,0.5314,281.1,835319.0,0.7333333333333334,,,,,,
rest-api-crud,27,1,completed,typescript,sonnet,beads,0.3881,144.6,688784.0,0.7333333333333334,,,,,,
rest-api-crud,28,2,completed,typescript,sonnet,beads,0.4293,223.3,697503.0,0.7333333333333334,,,,,,
rest-api-crud,29,3,completed,typescript,sonnet,beads,0.3262,135.2,526761.0,0.7333333333333334,,,,,,
rest-api-crud,30,2,completed,go,opus,none,0.3277,86.1,162906.0,1.0,,,,,,
rest-api-crud,31,3,completed,go,opus,none,0.3945,101.0,298091.0,1.0,,,,,,
rest-api-crud,32,2,completed,go,opus,beads,0.4318,97.0,282025.0,1.0,,,,,,
rest-api-crud,33,3,completed,go,opus,beads,0.5497,137.1,410406.0,1.0,,,,,,
rest-api-crud,34,2,completed,go,sonnet,none,0.3104,121.9,448470.0,0.9555555555555556,,,,,,
rest-api-crud,35,3,completed,go,sonnet,none,0.2953,124.9,422277.0,0.9555555555555556,,,,,,
rest-api-crud,36,2,completed,go,sonnet,beads,0.2936,128.0,408786.0,1.0,,,,,,
rest-api-crud,37,3,completed,go,sonnet,beads,0.3284,165.2,545124.0,1.0,,,,,,
rest-api-crud,38,1,completed,rust,opus,none,0.3273,115.6,139626.0,0.8333333333333334,,,,,,
rest-api-crud,39,2,completed,rust,opus,none,0.3181,97.5,140736.0,0.8333333333333334,,,,,,
rest-api-crud,40,3,completed,rust,opus,none,0.3489,105.2,171744.0,0.8333333333333334,,,,,,
rest-api-crud,41,1,completed,rust,opus,beads,0.5013,134.6,405949.0,0.8333333333333334,,,,,,
rest-api-crud,42,2,completed,rust,opus,beads,0.4481,129.9,287633.0,0.8333333333333334,,,,,,
rest-api-crud,43,3,completed,rust,opus,beads,0.4931,163.4,371717.0,0.8333333333333334,,,,,,
rest-api-crud,44,1,completed,rust,sonnet,none,0.3548,172.1,443216.0,0.8333333333333334,,,,,,
rest-api-crud,45,2,completed,rust,sonnet,none,0.2925,172.2,240604.0,0.8333333333333334,,,,,,
rest-api-crud,46,3,completed,rust,sonnet,none,0.418,238.0,501952.0,0.8333333333333334,,,,,,
rest-api-crud,47,1,completed,rust,sonnet,beads,0.4074,192.6,656821.0,0.8333333333333334,,,,,,
rest-api-crud,48,2,completed,rust,sonnet,beads,0.4207,222.6,630765.0,0.8333333333333334,,,,,,
rest-api-crud,50,1,completed,java,opus,none,0.41710675,142.00771016100043,182291.0,1.0,,,,,,
rest-api-crud,51,2,completed,java,opus,none,0.482139,145.5345465399987,290890.0,1.0,,,,,,
rest-api-crud,52,2,completed,java,opus,beads,0.5061599999999999,165.2863084140008,323893.0,1.0,,,,,,
rest-api-crud,53,1,completed,java,sonnet,none,0.38474024999999995,181.68883549800012,612173.0,1.0,,,,,,
rest-api-crud,54,3,completed,java,opus,none,0.41004025,105.65337103000093,178307.0,1.0,,,,,,
rest-api-crud,55,3,completed,java,opus,beads,0.68396675,158.42190398099956,360353.0,1.0,,,,,,
rest-api-crud,56,3,completed,clojure,opus,none,0.5716955,193.83475020600054,337498.0,0.8333333333333334,,,,,,
rest-api-crud,58,1,completed,java,opus,beads,0.467356,125.18471818599937,291090.0,1.0,,,,,,
rest-api-crud,59,2,completed,java,sonnet,none,0.2478477,122.94241109199902,336186.0,1.0,,,,,,
rest-api-crud,60,1,completed,clojure,opus,beads,0.6415197499999999,176.36413994299983,587233.0,0.8333333333333334,,,,,,
rest-api-crud,61,1,completed,java,sonnet,beads,0.31502639999999993,146.95023447200037,510855.0,1.0,,,,,,
rest-api-crud,62,1,completed,clojure,sonnet,beads,0.5175232499999999,248.23787024800004,741625.0,0.8333333333333334,,,,,,
rest-api-crud,63,3,completed,java,sonnet,none,0.34500539999999996,150.13709836099952,533988.0,1.0,,,,,,
rest-api-crud,64,2,completed,java,sonnet,beads,0.40100775,200.67881522599964,694976.0,1.0,,,,,,
rest-api-crud,65,1,completed,clojure,opus,none,0.5177497500000001,154.72367057299925,350599.0,0.8333333333333334,,,,,,
rest-api-crud,66,1,completed,clojure,sonnet,none,0.6918741,410.2342405679992,780404.0,0.8333333333333334,,,,,,
rest-api-crud,67,3,completed,java,sonnet,beads,0.3776328,197.08372069800134,628355.0,1.0,,,,,,
rest-api-crud,68,2,completed,clojure,sonnet,none,0.4291006500000001,247.01752909300012,369747.0,0.8333333333333334,,,,,,
rest-api-crud,69,2,completed,clojure,sonnet,beads,0.43715550000000003,211.15160749700044,618307.0,0.8333333333333334,,,,,,
rest-api-crud,70,2,completed,clojure,opus,none,0.64761325,187.59519009399992,540001.0,0.8333333333333334,,,,,,
rest-api-crud,72,2,completed,clojure,opus,beads,0.7251010000000001,186.82075266899847,601420.0,0.8333333333333334,,,,,,
brazil-bench,1,1,completed,python,sonnet,none,0.7158078,328.88201376800134,879497.0,0.6666666666666666,,0.9052880820836622,0.77,0.5662004662004662,0.96,0.027652169364989307
brazil-bench,3,1,completed,python,opus,none,0.7255997500000001,149.28589630200076,580884.0,0.6666666666666666,16.0,0.9644128113879004,0.79,0.46592099352156785,0.8,0.018798934038465512
brazil-bench,4,1,completed,python,opus,beads,1.7258697499999998,348.7832363519992,1625376.0,0.6666666666666666,44.0,0.6802325581395349,0.68,0.6171392318233078,0.85,0.008293465635028448
brazil-bench,5,1,completed,typescript,sonnet,beads,0.9246295499999999,361.8989301319998,1556688.0,0.7333333333333334,43.0,1.0,0.67,0.5778966807228157,0.0,1.0
brazil-bench,6,1,completed,typescript,opus,none,1.0130405,187.52346417399895,919663.0,0.7333333333333334,23.0,1.0,0.38,0.5149504898538065,0.0,1.0
brazil-bench,7,1,completed,python,sonnet,beads,1.2469279500000001,482.76138146499943,2113900.0,0.6666666666666666,49.0,0.8486281929990539,0.76,0.6137523413766508,0.97,0.009394957188135673
brazil-bench,8,1,completed,rust,opus,none,0.8660215000000001,174.66953853800078,593895.0,0.8333333333333334,16.0,0.9758162031438936,0.78,0.49483490717138084,0.0,0.02717652110221504
brazil-bench,9,1,completed,typescript,opus,beads,1.0674709999999998,204.78332309899997,1022265.0,0.7333333333333334,27.0,1.0,0.75,0.5068095167870567,0.0,1.0
brazil-bench,10,1,completed,clojure,opus,none,0.80904525,178.23385336900174,630222.0,0.8333333333333334,17.0,1.0,0.78,0.7679495483121799,0.0,0.018660091205955995
brazil-bench,12,1,completed,go,opus,none,1.3871597500000001,273.5446939090034,1098817.0,1.0,24.0,1.0,0.72,0.7007676653910577,0.423,0.01885664309889636
brazil-bench,13,1,completed,typescript,sonnet,none,0.7091845499999998,274.4852746800025,797512.0,0.7333333333333334,24.0,1.0,0.68,0.5531276497347498,0.9605,1.0
brazil-bench,14,1,completed,go,opus,beads,1.2266922500000002,268.72250457000337,683860.0,1.0,28.0,1.0,0.67,0.5459672567532606,0.33324999999999994,0.0442488228584798
brazil-bench,15,1,completed,rust,opus,beads,1.5749187499999997,350.3147270110021,1108771.0,0.8333333333333334,32.0,0.9271137026239067,0.78,0.43883175813668446,0.0,0.0234854627330621
brazil-bench,16,1,completed,go,sonnet,none,1.1781928,425.70404746400163,1540294.0,1.0,30.0,1.0,0.55,0.4718089093360243,0.769,0.021865955460451055
brazil-bench,17,1,completed,rust,sonnet,none,1.14389055,471.0110405960004,209825.0,0.8333333333333334,9.0,0.9892588614393125,0.78,0.21928205128205125,0.0,0.1619444775408078
brazil-bench,18,1,completed,rust,sonnet,beads,1.1086549,532.5035404339978,491969.0,0.8333333333333334,17.0,0.874037788663401,0.77,0.1826123138338707,0.0,0.055979136896837
brazil-bench,19,1,completed,java,opus,none,1.256035,218.0492779870001,965345.0,1.0,24.0,1.0,0.48,0.7068135301615944,0.0,0.01624289761691416
brazil-bench,20,1,completed,clojure,opus,beads,1.3911665,342.5264769259993,1391321.0,0.8333333333333334,34.0,1.0,0.78,0.7881149605724085,1.0,0.009171140232915338
brazil-bench,21,1,completed,clojure,sonnet,beads,1.02884335,410.30929307800034,1811932.0,0.8333333333333334,49.0,1.0,0.65,0.7062141750041068,1.0,0.010773031217507058
brazil-bench,22,1,completed,java,opus,beads,1.7525562500000005,340.6408734700017,1669932.0,1.0,39.0,1.0,0.58,0.689000322144809,0.0,0.011138178081502722
brazil-bench,23,1,completed,clojure,sonnet,none,1.1248502999999999,436.5858163369994,1920625.0,0.8333333333333334,45.0,1.0,0.77,0.699944633910151,0.0,0.00878880572730231
brazil-bench,24,1,completed,java,sonnet,beads,1.83553625,673.9992432500003,2779597.0,1.0,57.0,1.0,0.7,0.8048993452382242,0.0,0.013023470668589728
